innings,batting_team,bowling_team,overs_completed,wickets_fallen,current_score,current_run_rate,remaining_overs,wickets_in_hand,target,runs_required,balls_remaining,required_run_rate,pressure_index,final_score,winner
2,Rajasthan Royals,Royal Challengers Bangalore,5.5,8,26,4.9,14.5,2,132,106,87,7.31,1.4918,81,Royal Challengers Bangalore
1,Delhi Capitals,Royal Challengers Bangalore,9.4,4,69,7.42,10.6,6,0,0,63,0.0,0.0,138,Royal Challengers Bangalore
2,Royal Challengers Bangalore,Delhi Capitals,6.2,3,45,7.31,13.8,7,139,94,82,6.81,0.9316,139,Royal Challengers Bangalore
1,Mumbai Indians,Royal Challengers Bangalore,5.6,7,32,5.78,14.4,3,0,0,86,0.0,0.0,83,Royal Challengers Bangalore
2,Royal Challengers Bangalore,Mumbai Indians,19.0,6,83,6.82,1.0,4,84,1,6,1.0,0.1466,88,Royal Challengers Bangalore
1,Delhi Capitals,Kolkata Knight Riders,13.0,8,103,7.95,7.0,2,0,0,42,0.0,0.0,142,Delhi Capitals
2,Kolkata Knight Riders,Delhi Capitals,11.1,9,72,6.55,8.9,1,143,71,53,7.98,1.2183,112,Delhi Capitals
1,Chennai Super Kings,Sunrisers Hyderabad,9.5,3,55,5.85,10.5,7,0,0,63,0.0,0.0,108,Sunrisers Hyderabad
2,Sunrisers Hyderabad,Chennai Super Kings,14.4,9,108,7.94,5.6,1,109,1,33,0.18,0.0227,138,Sunrisers Hyderabad
1,Mumbai Indians,Sunrisers Hyderabad,17.4,4,149,8.61,2.6,6,0,0,15,0.0,0.0,170,Mumbai Indians
2,Sunrisers Hyderabad,Mumbai Indians,17.6,3,143,8.14,2.4,7,171,28,14,11.67,1.4337,160,Mumbai Indians
1,Chennai Super Kings,Rajasthan Royals,14.1,0,143,10.16,5.9,10,0,0,35,0.0,0.0,200,Chennai Super Kings
2,Rajasthan Royals,Chennai Super Kings,17.3,9,104,6.03,2.7,1,201,97,16,35.93,5.9585,114,Chennai Super Kings
1,Punjab Kings,Royal Challengers Bangalore,17.7,3,128,7.24,2.3,7,0,0,13,0.0,0.0,142,Royal Challengers Bangalore
2,Royal Challengers Bangalore,Punjab Kings,13.2,2,142,10.85,6.8,8,143,1,40,0.15,0.0138,208,Royal Challengers Bangalore
1,Punjab Kings,Royal Challengers Bangalore,15.9,8,94,5.92,4.1,2,0,0,24,0.0,0.0,110,Royal Challengers Bangalore
2,Royal Challengers Bangalore,Punjab Kings,10.6,2,68,6.42,9.4,8,111,43,56,4.57,0.7118,115,Royal Challengers Bangalore
1,Rajasthan Royals,Delhi Capitals,18.8,2,151,8.06,1.2,8,0,0,7,0.0,0.0,159,Rajasthan Royals
2,Delhi Capitals,Rajasthan Royals,18.7,8,100,5.36,1.3,2,160,60,7,46.15,8.6101,105,Rajasthan Royals
1,Delhi Capitals,Kolkata Knight Riders,12.9,1,135,10.49,7.1,9,0,0,42,0.0,0.0,214,Delhi Capitals
2,Kolkata Knight Riders,Delhi Capitals,17.2,7,81,4.75,2.8,3,215,134,16,47.86,10.0758,92,Delhi Capitals
1,Royal Challengers Bangalore,Kolkata Knight Riders,13.4,0,133,9.99,6.6,10,0,0,39,0.0,0.0,201,Royal Challengers Bangalore
2,Kolkata Knight Riders,Royal Challengers Bangalore,10.1,2,94,9.37,9.9,8,202,108,59,10.91,1.1644,181,Royal Challengers Bangalore
1,Kolkata Knight Riders,Mumbai Indians,8.7,1,68,7.82,11.3,9,0,0,67,0.0,0.0,159,Kolkata Knight Riders
2,Mumbai Indians,Kolkata Knight Riders,13.5,8,81,6.04,6.5,2,160,79,39,12.15,2.0116,106,Kolkata Knight Riders
1,Sunrisers Hyderabad,Royal Challengers Bangalore,19.2,4,105,5.49,0.8,6,0,0,4,0.0,0.0,108,Royal Challengers Bangalore
2,Royal Challengers Bangalore,Sunrisers Hyderabad,7.4,0,65,8.85,12.6,10,109,44,75,3.49,0.3944,175,Royal Challengers Bangalore
1,Chennai Super Kings,Mumbai Indians,18.3,9,167,9.14,1.7,1,0,0,10,0.0,0.0,177,Chennai Super Kings
2,Mumbai Indians,Chennai Super Kings,9.0,3,69,7.72,11.0,7,178,109,66,9.91,1.2837,140,Chennai Super Kings
1,Rajasthan Royals,Punjab Kings,5.5,8,34,6.26,14.5,2,0,0,87,0.0,0.0,89,Punjab Kings
2,Punjab Kings,Rajasthan Royals,18.2,5,89,10.39,1.8,5,90,1,10,0.56,0.0539,105,Punjab Kings
1,Punjab Kings,Royal Challengers Bangalore,13.0,4,71,5.51,7.0,6,0,0,42,0.0,0.0,108,Royal Challengers Bangalore
2,Royal Challengers Bangalore,Punjab Kings,7.2,4,63,8.88,12.8,6,109,46,76,3.59,0.4043,155,Royal Challengers Bangalore
1,Sunrisers Hyderabad,Kolkata Knight Riders,11.0,0,61,5.63,9.0,10,0,0,54,0.0,0.0,112,Kolkata Knight Riders
2,Kolkata Knight Riders,Sunrisers Hyderabad,15.9,2,112,7.95,4.1,8,113,1,24,0.24,0.0302,144,Kolkata Knight Riders
1,Punjab Kings,Rajasthan Royals,8.0,0,78,9.86,12.0,10,0,0,72,0.0,0.0,202,Punjab Kings
2,Rajasthan Royals,Punjab Kings,14.0,7,62,4.45,6.0,3,203,141,36,23.5,5.2809,81,Punjab Kings
1,Delhi Capitals,Kolkata Knight Riders,19.0,8,127,6.71,1.0,2,0,0,6,0.0,0.0,132,Kolkata Knight Riders
2,Kolkata Knight Riders,Delhi Capitals,14.3,2,132,9.98,5.7,8,133,1,34,0.18,0.018,186,Kolkata Knight Riders
1,Royal Challengers Bangalore,Mumbai Indians,11.3,1,85,7.57,8.7,9,0,0,52,0.0,0.0,146,Mumbai Indians
2,Mumbai Indians,Royal Challengers Bangalore,14.0,2,125,8.97,6.0,8,147,22,36,3.67,0.4091,179,Mumbai Indians
1,Royal Challengers Bangalore,Rajasthan Royals,14.0,1,92,6.63,6.0,9,0,0,36,0.0,0.0,125,Rajasthan Royals
2,Rajasthan Royals,Royal Challengers Bangalore,6.9,6,55,7.99,13.1,4,126,71,78,5.42,0.6783,132,Rajasthan Royals
1,Chennai Super Kings,Delhi Capitals,14.7,1,125,8.57,5.3,9,0,0,31,0.0,0.0,167,Chennai Super Kings
2,Delhi Capitals,Chennai Super Kings,10.0,5,47,4.77,10.0,5,168,121,60,12.1,2.5367,81,Chennai Super Kings
1,Sunrisers Hyderabad,Royal Challengers Bangalore,15.0,8,83,5.59,5.0,2,0,0,30,0.0,0.0,102,Royal Challengers Bangalore
2,Royal Challengers Bangalore,Sunrisers Hyderabad,7.3,0,48,6.6,12.7,10,103,55,76,4.33,0.6561,140,Royal Challengers Bangalore
1,Chennai Super Kings,Punjab Kings,18.4,9,161,8.75,1.6,1,0,0,9,0.0,0.0,169,Punjab Kings
2,Punjab Kings,Chennai Super Kings,7.1,2,64,9.12,12.9,8,170,106,77,8.22,0.9013,185,Punjab Kings
1,Mumbai Indians,Sunrisers Hyderabad,12.7,8,105,8.31,7.3,2,0,0,43,0.0,0.0,150,Mumbai Indians
2,Sunrisers Hyderabad,Mumbai Indians,6.3,8,56,9.0,13.7,2,151,95,82,6.93,0.77,142,Mumbai Indians
1,Rajasthan Royals,Punjab Kings,13.5,5,103,7.7,6.5,5,0,0,39,0.0,0.0,139,Punjab Kings
2,Punjab Kings,Rajasthan Royals,9.1,5,93,10.27,10.9,5,140,47,65,4.31,0.4197,185,Punjab Kings
1,Chennai Super Kings,Sunrisers Hyderabad,6.5,5,46,7.08,13.5,5,0,0,81,0.0,0.0,113,Sunrisers Hyderabad
2,Sunrisers Hyderabad,Chennai Super Kings,16.7,7,113,9.53,3.3,3,114,1,19,0.3,0.0315,133,Sunrisers Hyderabad
1,Mumbai Indians,Chennai Super Kings,10.8,3,55,5.16,9.2,7,0,0,55,0.0,0.0,100,Chennai Super Kings
2,Chennai Super Kings,Mumbai Indians,16.9,1,100,8.36,3.1,9,101,1,18,0.32,0.0383,125,Chennai Super Kings
1,Mumbai Indians,Punjab Kings,15.3,3,115,7.54,4.7,7,0,0,28,0.0,0.0,147,Mumbai Indians
2,Punjab Kings,Mumbai Indians,9.2,4,68,7.46,10.8,6,148,80,64,7.41,0.9933,144,Mumbai Indians
1,Punjab Kings,Rajasthan Royals,6.9,6,53,7.71,13.1,4,0,0,78,0.0,0.0,120,Rajasthan Royals
2,Rajasthan Royals,Punjab Kings,7.0,8,58,8.3,13.0,2,121,63,78,4.85,0.5843,133,Rajasthan Royals
1,Kolkata Knight Riders,Sunrisers Hyderabad,19.0,4,165,8.7,1.0,6,0,0,6,0.0,0.0,172,Sunrisers Hyderabad
2,Sunrisers Hyderabad,Kolkata Knight Riders,17.2,7,156,9.08,2.8,3,173,17,16,6.07,0.6685,176,Sunrisers Hyderabad
1,Chennai Super Kings,Sunrisers Hyderabad,14.6,9,134,9.21,5.4,1,0,0,32,0.0,0.0,168,Chennai Super Kings
2,Sunrisers Hyderabad,Chennai Super Kings,11.6,7,68,5.91,8.4,3,169,101,50,12.02,2.0338,103,Chennai Super Kings
1,Chennai Super Kings,Royal Challengers Bangalore,10.6,4,98,9.29,9.4,6,0,0,56,0.0,0.0,181,Chennai Super Kings
2,Royal Challengers Bangalore,Chennai Super Kings,14.1,7,118,8.41,5.9,3,182,64,35,10.85,1.2901,150,Chennai Super Kings
1,Punjab Kings,Rajasthan Royals,16.4,5,146,8.95,3.6,5,0,0,21,0.0,0.0,169,Rajasthan Royals
2,Rajasthan Royals,Punjab Kings,8.0,1,77,9.67,12.0,9,170,93,72,7.75,0.8014,201,Rajasthan Royals
1,Punjab Kings,Chennai Super Kings,11.6,3,81,6.99,8.4,7,0,0,50,0.0,0.0,128,Punjab Kings
2,Chennai Super Kings,Punjab Kings,15.5,1,78,5.07,4.5,9,129,51,27,11.33,2.2347,101,Punjab Kings
1,Sunrisers Hyderabad,Rajasthan Royals,7.6,9,45,6.01,12.4,1,0,0,74,0.0,0.0,90,Rajasthan Royals
2,Rajasthan Royals,Sunrisers Hyderabad,13.9,9,90,7.0,6.1,1,91,1,36,0.16,0.0229,117,Rajasthan Royals
1,Delhi Capitals,Chennai Super Kings,5.3,9,42,8.09,14.7,1,0,0,88,0.0,0.0,108,Chennai Super Kings
2,Chennai Super Kings,Delhi Capitals,6.5,8,62,9.54,13.5,2,109,47,81,3.48,0.3648,148,Chennai Super Kings
1,Royal Challengers Bangalore,Mumbai Indians,18.4,5,128,6.99,1.6,5,0,0,9,0.0,0.0,136,Mumbai Indians
2,Mumbai Indians,Royal Challengers Bangalore,9.9,3,97,9.83,10.1,7,137,40,60,3.96,0.4028,187,Mumbai Indians
1,Delhi Capitals,Rajasthan Royals,10.0,1,78,7.83,10.0,9,0,0,60,0.0,0.0,143,Delhi Capitals
2,Rajasthan Royals,Delhi Capitals,18.2,5,103,5.69,1.8,5,144,41,10,22.78,4.0035,111,Delhi Capitals
1,Chennai Super Kings,Kolkata Knight Riders,14.2,1,122,8.62,5.8,9,0,0,34,0.0,0.0,164,Chennai Super Kings
2,Kolkata Knight Riders,Chennai Super Kings,19.5,0,126,6.47,0.5,10,165,39,3,78.0,12.0556,129,Chennai Super Kings
1,Mumbai Indians,Chennai Super Kings,8.0,0,51,6.45,12.0,10,0,0,72,0.0,0.0,118,Chennai Super Kings
2,Chennai Super Kings,Mumbai Indians,16.2,1,118,7.69,3.8,9,119,1,22,0.26,0.0338,146,Chennai Super Kings
1,Kolkata Knight Riders,Punjab Kings,17.5,6,152,8.7,2.5,4,0,0,15,0.0,0.0,169,Kolkata Knight Riders
2,Punjab Kings,Kolkata Knight Riders,16.6,6,85,5.13,3.4,4,170,85,20,25.0,4.8733,99,Kolkata Knight Riders
1,Chennai Super Kings,Rajasthan Royals,12.3,7,61,5.02,7.7,3,0,0,46,0.0,0.0,90,Rajasthan Royals
2,Rajasthan Royals,Chennai Super Kings,8.5,1,83,9.86,11.5,9,91,8,69,0.7,0.071,208,Rajasthan Royals
1,Sunrisers Hyderabad,Chennai Super Kings,8.0,6,74,9.36,12.0,4,0,0,72,0.0,0.0,157,Sunrisers Hyderabad
2,Chennai Super Kings,Sunrisers Hyderabad,17.9,4,110,6.2,2.1,6,158,48,12,22.86,3.6871,120,Sunrisers Hyderabad
1,Sunrisers Hyderabad,Punjab Kings,16.2,8,109,6.78,3.8,2,0,0,22,0.0,0.0,128,Sunrisers Hyderabad
2,Punjab Kings,Sunrisers Hyderabad,7.0,9,51,7.29,13.0,1,129,78,78,6.0,0.823,120,Sunrisers Hyderabad
1,Delhi Capitals,Kolkata Knight Riders,12.9,8,75,5.88,7.1,2,0,0,42,0.0,0.0,108,Kolkata Knight Riders
2,Kolkata Knight Riders,Delhi Capitals,12.6,1,81,6.46,7.4,9,109,28,44,3.78,0.5851,120,Kolkata Knight Riders
1,Sunrisers Hyderabad,Royal Challengers Bangalore,13.0,8,89,6.86,7.0,2,0,0,42,0.0,0.0,118,Royal Challengers Bangalore
2,Royal Challengers Bangalore,Sunrisers Hyderabad,8.8,5,78,8.89,11.2,5,119,41,67,3.66,0.4117,152,Royal Challengers Bangalore
1,Royal Challengers Bangalore,Rajasthan Royals,10.9,9,72,6.64,9.1,1,0,0,54,0.0,0.0,107,Rajasthan Royals
2,Rajasthan Royals,Royal Challengers Bangalore,6.3,2,39,6.2,13.7,8,108,69,82,5.04,0.8129,115,Rajasthan Royals
1,Delhi Capitals,Chennai Super Kings,13.2,1,90,6.84,6.8,9,0,0,40,0.0,0.0,135,Delhi Capitals
2,Chennai Super Kings,Delhi Capitals,7.3,3,35,4.91,12.7,7,136,101,76,7.95,1.6191,90,Delhi Capitals
1,Sunrisers Hyderabad,Punjab Kings,10.0,7,88,8.89,10.0,3,0,0,60,0.0,0.0,151,Sunrisers Hyderabad
2,Punjab Kings,Sunrisers Hyderabad,8.6,2,44,5.21,11.4,8,152,108,68,9.47,1.8177,90,Sunrisers Hyderabad
1,Delhi Capitals,Mumbai Indians,6.3,0,38,6.16,13.7,10,0,0,82,0.0,0.0,114,Mumbai Indians
2,Mumbai Indians,Delhi Capitals,12.9,7,114,8.9,7.1,3,115,1,42,0.14,0.0157,161,Mumbai Indians
1,Royal Challengers Bangalore,Kolkata Knight Riders,8.2,9,37,4.58,11.8,1,0,0,70,0.0,0.0,73,Kolkata Knight Riders
2,Kolkata Knight Riders,Royal Challengers Bangalore,19.5,9,73,7.36,0.5,1,74,1,3,2.0,0.2717,76,Kolkata Knight Riders
1,Kolkata Knight Riders,Punjab Kings,18.7,1,169,9.09,1.3,9,0,0,7,0.0,0.0,180,Kolkata Knight Riders
2,Punjab Kings,Kolkata Knight Riders,14.3,7,76,5.34,5.7,3,181,105,34,18.42,3.4494,95,Kolkata Knight Riders
1,Rajasthan Royals,Mumbai Indians,10.9,6,74,6.79,9.1,4,0,0,54,0.0,0.0,118,Mumbai Indians
2,Mumbai Indians,Rajasthan Royals,14.1,9,118,9.24,5.9,1,119,1,35,0.17,0.0184,152,Mumbai Indians
1,Rajasthan Royals,Kolkata Knight Riders,10.6,2,67,6.39,9.4,8,0,0,56,0.0,0.0,118,Rajasthan Royals
2,Kolkata Knight Riders,Rajasthan Royals,10.8,8,63,5.86,9.2,2,119,56,55,6.09,1.0392,100,Rajasthan Royals
1,Kolkata Knight Riders,Delhi Capitals,9.2,3,75,8.24,10.8,7,0,0,64,0.0,0.0,163,Kolkata Knight Riders
2,Delhi Capitals,Kolkata Knight Riders,5.7,0,42,7.54,14.3,10,164,122,85,8.53,1.1313,138,Kolkata Knight Riders
1,Kolkata Knight Riders,Sunrisers Hyderabad,11.1,7,103,9.33,8.9,3,0,0,53,0.0,0.0,172,Kolkata Knight Riders
2,Sunrisers Hyderabad,Kolkata Knight Riders,15.8,3,96,6.09,4.2,7,173,77,25,18.33,3.0099,121,Kolkata Knight Riders
1,Kolkata Knight Riders,Punjab Kings,5.7,8,33,5.81,14.3,2,0,0,85,0.0,0.0,87,Punjab Kings
2,Punjab Kings,Kolkata Knight Riders,5.8,6,54,9.4,14.2,4,88,34,85,2.39,0.2543,168,Punjab Kings
1,Sunrisers Hyderabad,Kolkata Knight Riders,12.1,0,73,6.1,7.9,10,0,0,47,0.0,0.0,117,Kolkata Knight Riders
2,Kolkata Knight Riders,Sunrisers Hyderabad,12.8,8,117,9.6,7.2,2,118,1,43,0.14,0.0146,169,Kolkata Knight Riders
1,Chennai Super Kings,Delhi Capitals,5.6,1,55,9.85,14.4,9,0,0,86,0.0,0.0,193,Chennai Super Kings
2,Delhi Capitals,Chennai Super Kings,6.3,7,37,6.0,13.7,3,194,157,82,11.46,1.91,87,Chennai Super Kings
1,Punjab Kings,Kolkata Knight Riders,6.6,4,67,10.25,13.4,6,0,0,80,0.0,0.0,185,Punjab Kings
2,Kolkata Knight Riders,Punjab Kings,14.6,7,110,7.57,5.4,3,186,76,32,14.07,1.8587,137,Punjab Kings
1,Delhi Capitals,Chennai Super Kings,15.3,8,142,9.29,4.7,2,0,0,28,0.0,0.0,169,Delhi Capitals
2,Chennai Super Kings,Delhi Capitals,17.8,9,116,6.52,2.2,1,170,54,13,24.55,3.7653,126,Delhi Capitals
1,Kolkata Knight Riders,Mumbai Indians,5.0,1,47,9.47,15.0,9,0,0,90,0.0,0.0,175,Kolkata Knight Riders
2,Mumbai Indians,Kolkata Knight Riders,13.9,0,116,8.36,6.1,10,176,60,36,9.84,1.177,161,Kolkata Knight Riders
1,Rajasthan Royals,Mumbai Indians,16.0,9,103,6.48,4.0,1,0,0,24,0.0,0.0,118,Mumbai Indians
2,Mumbai Indians,Rajasthan Royals,15.9,5,118,10.36,4.1,5,119,1,24,0.24,0.0232,154,Mumbai Indians
1,Rajasthan Royals,Delhi Capitals,13.4,0,85,6.4,6.6,10,0,0,39,0.0,0.0,128,Delhi Capitals
2,Delhi Capitals,Rajasthan Royals,10.6,0,71,6.72,9.4,10,129,58,56,6.17,0.9182,134,Delhi Capitals
1,Mumbai Indians,Sunrisers Hyderabad,19.5,0,117,6.04,0.5,10,0,0,3,0.0,0.0,120,Sunrisers Hyderabad
2,Sunrisers Hyderabad,Mumbai Indians,9.3,1,91,9.87,10.7,9,121,30,64,2.8,0.2837,184,Sunrisers Hyderabad
1,Kolkata Knight Riders,Rajasthan Royals,18.2,4,141,7.75,1.8,6,0,0,10,0.0,0.0,154,Kolkata Knight Riders
2,Rajasthan Royals,Kolkata Knight Riders,10.9,5,60,5.57,9.1,5,155,95,54,10.44,1.8743,97,Kolkata Knight Riders
1,Rajasthan Royals,Delhi Capitals,11.9,7,64,5.41,8.1,3,0,0,48,0.0,0.0,96,Delhi Capitals
2,Delhi Capitals,Rajasthan Royals,5.3,4,51,9.64,14.7,6,97,46,88,3.13,0.3247,187,Delhi Capitals
1,Royal Challengers Bangalore,Punjab Kings,8.3,5,66,8.06,11.7,5,0,0,70,0.0,0.0,137,Royal Challengers Bangalore
2,Punjab Kings,Royal Challengers Bangalore,11.6,7,78,6.75,8.4,3,138,60,50,7.14,1.0578,121,Royal Challengers Bangalore
1,Punjab Kings,Delhi Capitals,18.8,8,83,4.45,1.2,2,0,0,7,0.0,0.0,86,Delhi Capitals
2,Delhi Capitals,Punjab Kings,19.3,5,86,8.09,0.7,5,87,1,4,1.43,0.1768,91,Delhi Capitals
1,Rajasthan Royals,Royal Challengers Bangalore,17.8,0,163,9.21,2.2,10,0,0,13,0.0,0.0,186,Rajasthan Royals
2,Royal Challengers Bangalore,Rajasthan Royals,7.9,9,66,8.39,12.1,1,187,121,72,10.0,1.1919,125,Rajasthan Royals
1,Chennai Super Kings,Punjab Kings,5.5,5,41,7.52,14.5,5,0,0,87,0.0,0.0,140,Chennai Super Kings
2,Punjab Kings,Chennai Super Kings,18.7,3,129,6.94,1.3,7,141,12,7,9.23,1.33,138,Chennai Super Kings
1,Mumbai Indians,Punjab Kings,11.6,2,62,5.4,8.4,8,0,0,50,0.0,0.0,107,Punjab Kings
2,Punjab Kings,Mumbai Indians,13.6,8,107,8.91,6.4,2,108,1,38,0.16,0.018,143,Punjab Kings
1,Chennai Super Kings,Royal Challengers Bangalore,11.3,2,70,6.22,8.7,8,0,0,52,0.0,0.0,120,Royal Challengers Bangalore
2,Royal Challengers Bangalore,Chennai Super Kings,6.2,2,51,8.24,13.8,8,121,70,82,5.07,0.6153,142,Royal Challengers Bangalore
1,Royal Challengers Bangalore,Delhi Capitals,15.5,7,99,6.42,4.5,3,0,0,27,0.0,0.0,123,Delhi Capitals
2,Delhi Capitals,Royal Challengers Bangalore,5.6,0,42,7.64,14.4,10,124,82,86,5.69,0.7448,155,Delhi Capitals
1,Mumbai Indians,Sunrisers Hyderabad,16.5,6,105,6.4,3.5,4,0,0,21,0.0,0.0,121,Sunrisers Hyderabad
2,Sunrisers Hyderabad,Mumbai Indians,14.0,7,121,9.23,6.0,3,122,1,36,0.17,0.0184,158,Sunrisers Hyderabad
1,Mumbai Indians,Royal Challengers Bangalore,12.4,4,109,8.8,7.6,6,0,0,45,0.0,0.0,171,Mumbai Indians
2,Royal Challengers Bangalore,Mumbai Indians,11.5,7,87,7.62,8.5,3,172,85,51,10.0,1.3123,136,Mumbai Indians
1,Delhi Capitals,Chennai Super Kings,8.7,4,48,5.58,11.3,6,0,0,67,0.0,0.0,99,Delhi Capitals
2,Chennai Super Kings,Delhi Capitals,8.4,9,40,4.82,11.6,1,100,60,69,5.17,1.0726,72,Delhi Capitals
1,Sunrisers Hyderabad,Royal Challengers Bangalore,11.5,7,86,7.49,8.5,3,0,0,51,0.0,0.0,127,Sunrisers Hyderabad
2,Royal Challengers Bangalore,Sunrisers Hyderabad,5.5,4,37,6.82,14.5,6,128,91,87,6.28,0.9208,121,Sunrisers Hyderabad
1,Sunrisers Hyderabad,Chennai Super Kings,8.0,3,52,6.5,12.0,7,0,0,72,0.0,0.0,130,Sunrisers Hyderabad
2,Chennai Super Kings,Sunrisers Hyderabad,5.6,6,30,5.42,14.4,4,131,101,86,7.01,1.2934,84,Sunrisers Hyderabad
1,Sunrisers Hyderabad,Kolkata Knight Riders,7.2,4,50,6.96,12.8,6,0,0,76,0.0,0.0,125,Sunrisers Hyderabad
2,Kolkata Knight Riders,Sunrisers Hyderabad,10.0,5,53,5.39,10.0,5,126,73,60,7.3,1.3544,90,Sunrisers Hyderabad
1,Mumbai Indians,Punjab Kings,19.1,0,172,9.02,0.9,10,0,0,5,0.0,0.0,181,Punjab Kings
